CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;12/05/2021;4;0,081;R
ES0021000004676798CK;12/05/2021;5;0,088;R
ES0021000004676798CK;12/05/2021;6;0,067;R
ES0021000004676798CK;12/05/2021;7;0,117;R
ES0021000004676798CK;12/05/2021;8;0,165;R
ES0021000004676798CK;12/05/2021;9;0,088;R
ES0021000004676798CK;12/05/2021;10;0,075;R
ES0021000004676798CK;12/05/2021;11;0,061;R
ES0021000004676798CK;12/05/2021;12;0,06;R
ES0021000004676798CK;12/05/2021;13;0,081;R
ES0021000004676798CK;12/05/2021;14;0,083;R
ES0021000004676798CK;12/05/2021;15;0,067;R
ES0021000004676798CK;12/05/2021;16;0,461;R
ES0021000004676798CK;12/05/2021;17;0,514;R
ES0021000004676798CK;12/05/2021;18;0,118;R
ES0021000004676798CK;12/05/2021;19;0,059;R
ES0021000004676798CK;12/05/2021;20;0,394;R
ES0021000004676798CK;12/05/2021;21;0,911;R
ES0021000004676798CK;12/05/2021;22;0,252;R
ES0021000004676798CK;12/05/2021;23;0,223;R
ES0021000004676798CK;12/05/2021;24;0,164;R
ES0021000004676798CK;13/05/2021;1;0,172;R
ES0021000004676798CK;13/05/2021;2;0,303;R
ES0021000004676798CK;13/05/2021;3;0,062;R
ES0021000004676798CK;13/05/2021;4;0,084;R
ES0021000004676798CK;13/05/2021;5;0,071;R
ES0021000004676798CK;13/05/2021;6;0,067;R
ES0021000004676798CK;13/05/2021;7;0,403;R
ES0021000004676798CK;13/05/2021;8;1,472;R
ES0021000004676798CK;13/05/2021;9;0,145;R
ES0021000004676798CK;13/05/2021;10;0,12;R
ES0021000004676798CK;13/05/2021;11;0,052;R
ES0021000004676798CK;13/05/2021;12;0,114;R
ES0021000004676798CK;13/05/2021;13;0,118;R
ES0021000004676798CK;13/05/2021;14;0,079;R
ES0021000004676798CK;13/05/2021;15;0,12;R
ES0021000004676798CK;13/05/2021;16;0,667;R
ES0021000004676798CK;13/05/2021;17;0,535;R
ES0021000004676798CK;13/05/2021;18;0,413;R
ES0021000004676798CK;13/05/2021;19;0,085;R
ES0021000004676798CK;13/05/2021;20;0,819;R
ES0021000004676798CK;13/05/2021;21;0,34;R
ES0021000004676798CK;13/05/2021;22;0,932;R
ES0021000004676798CK;13/05/2021;23;0,246;R
ES0021000004676798CK;13/05/2021;24;0,139;R
ES0021000004676798CK;14/05/2021;1;0,104;R
ES0021000004676798CK;14/05/2021;2;0,273;R
ES0021000004676798CK;14/05/2021;3;0,064;R
ES0021000004676798CK;14/05/2021;4;0,083;R
ES0021000004676798CK;14/05/2021;5;0,069;R
ES0021000004676798CK;14/05/2021;6;0,075;R
ES0021000004676798CK;14/05/2021;7;0,206;R
ES0021000004676798CK;14/05/2021;8;0,124;R
ES0021000004676798CK;14/05/2021;9;0,08;R
ES0021000004676798CK;14/05/2021;10;0,065;R
ES0021000004676798CK;14/05/2021;11;0,056;R
ES0021000004676798CK;14/05/2021;12;0,084;R
ES0021000004676798CK;14/05/2021;13;0,084;R
ES0021000004676798CK;14/05/2021;14;0,054;R
ES0021000004676798CK;14/05/2021;15;0,06;R
ES0021000004676798CK;14/05/2021;16;0,375;R
ES0021000004676798CK;14/05/2021;17;0,312;R
ES0021000004676798CK;14/05/2021;18;0,533;R
ES0021000004676798CK;14/05/2021;19;0,12;R
ES0021000004676798CK;14/05/2021;20;0,071;R
ES0021000004676798CK;14/05/2021;21;0,414;R
ES0021000004676798CK;14/05/2021;22;1,559;R
ES0021000004676798CK;14/05/2021;23;0,533;R
ES0021000004676798CK;14/05/2021;24;0,402;R
ES0021000004676798CK;15/05/2021;1;0,51;R
ES0021000004676798CK;15/05/2021;2;0,568;R
ES0021000004676798CK;15/05/2021;3;0,165;R
ES0021000004676798CK;15/05/2021;4;0,132;R
ES0021000004676798CK;15/05/2021;5;0,058;R
ES0021000004676798CK;15/05/2021;6;0,068;R
ES0021000004676798CK;15/05/2021;7;0,077;R
ES0021000004676798CK;15/05/2021;8;0,103;R
ES0021000004676798CK;15/05/2021;9;0,103;R
ES0021000004676798CK;15/05/2021;10;0,08;R
ES0021000004676798CK;15/05/2021;11;0,064;R
ES0021000004676798CK;15/05/2021;12;0,085;R
ES0021000004676798CK;15/05/2021;13;1,93;R
ES0021000004676798CK;15/05/2021;14;1,496;R
ES0021000004676798CK;15/05/2021;15;0,495;R
ES0021000004676798CK;15/05/2021;16;0,573;R
ES0021000004676798CK;15/05/2021;17;0,144;R
ES0021000004676798CK;15/05/2021;18;0,49;R
ES0021000004676798CK;15/05/2021;19;0,181;R
ES0021000004676798CK;15/05/2021;20;0,119;R
ES0021000004676798CK;15/05/2021;21;1,572;R
ES0021000004676798CK;15/05/2021;22;0,189;R
ES0021000004676798CK;15/05/2021;23;0,236;R
ES0021000004676798CK;15/05/2021;24;0,201;R
ES0021000004676798CK;16/05/2021;1;0,112;R
ES0021000004676798CK;16/05/2021;2;0,62;R
ES0021000004676798CK;16/05/2021;3;0,68;R
ES0021000004676798CK;16/05/2021;4;0,112;R
ES0021000004676798CK;16/05/2021;5;0,058;R
ES0021000004676798CK;16/05/2021;6;0,067;R
ES0021000004676798CK;16/05/2021;7;0,072;R
ES0021000004676798CK;16/05/2021;8;0,069;R
ES0021000004676798CK;16/05/2021;9;0,109;R
ES0021000004676798CK;16/05/2021;10;0,061;R
ES0021000004676798CK;16/05/2021;11;0,067;R
ES0021000004676798CK;16/05/2021;12;0,094;R
ES0021000004676798CK;16/05/2021;13;0,179;R
ES0021000004676798CK;16/05/2021;14;0,255;R
ES0021000004676798CK;16/05/2021;15;0,149;R
ES0021000004676798CK;16/05/2021;16;0,298;R
ES0021000004676798CK;16/05/2021;17;0,156;R
ES0021000004676798CK;16/05/2021;18;0,135;R
